conn_name,type_name,zone-loc,section,coords,,,,,,,
325,batteneave,M1,1,10.35,0,11.25,0,11.25,0.45,10.35,0.45
326,batten,M2,1,10.35,0.45,11.25,0.45,11.25,1.35,10.35,1.35
327,batten,M3,1,10.35,1.35,11.25,1.35,11.25,2.25,10.35,2.25
328,batten,M4,1,10.35,2.25,11.25,2.25,11.25,3.15,10.35,3.15
329,batten,M5,1,10.35,3.15,11.25,3.15,11.25,4.05,10.35,4.05
330,batteneave,M6,1,10.35,4.05,11.25,4.05,11.25,4.5,10.35,4.5
331,batteneave,M7,2,10.35,4.5,11.25,4.5,11.25,4.95,10.35,4.95
332,batten,M8,2,10.35,4.95,11.25,4.95,11.25,5.85,10.35,5.85
333,batten,M9,2,10.35,5.85,11.25,5.85,11.25,6.75,10.35,6.75
334,batten,M10,2,10.35,6.75,11.25,6.75,11.25,7.65,10.35,7.65
335,batten,M11,2,10.35,7.65,11.25,7.65,11.25,8.55,10.35,8.55
336,batteneave,M12,2,10.35,8.55,11.25,8.55,11.25,9,10.35,9
337,batteneave,N1,1,11.25,0,12.15,0,12.15,0.45,11.25,0.45
338,batten,N2,1,11.25,0.45,12.15,0.45,12.15,1.35,11.25,1.35
339,batten,N3,1,11.25,1.35,12.15,1.35,12.15,2.25,11.25,2.25
340,batten,N4,1,11.25,2.25,12.15,2.25,12.15,3.15,11.25,3.15
341,batten,N5,1,11.25,3.15,12.15,3.15,12.15,4.05,11.25,4.05
342,batteneave,N6,1,11.25,4.05,12.15,4.05,12.15,4.5,11.25,4.5
343,batteneave,N7,2,11.25,4.5,12.15,4.5,12.15,4.95,11.25,4.95
344,batten,N8,2,11.25,4.95,12.15,4.95,12.15,5.85,11.25,5.85
345,batten,N9,2,11.25,5.85,12.15,5.85,12.15,6.75,11.25,6.75
346,batten,N10,2,11.25,6.75,12.15,6.75,12.15,7.65,11.25,7.65
347,batten,N11,2,11.25,7.65,12.15,7.65,12.15,8.55,11.25,8.55
348,batteneave,N12,2,11.25,8.55,12.15,8.55,12.15,9,11.25,9
349,battencorner,O1,1,12.15,0,12.6,0,12.6,0.45,12.15,0.45
350,battenend,O2,1,12.15,0.45,12.6,0.45,12.6,1.35,12.15,1.35
351,battenend,O3,1,12.15,1.35,12.6,1.35,12.6,2.25,12.15,2.25
352,battenend,O4,1,12.15,2.25,12.6,2.25,12.6,3.15,12.15,3.15
353,battenend,O5,1,12.15,3.15,12.6,3.15,12.6,4.05,12.15,4.05
354,battencorner,O6,1,12.15,4.05,12.6,4.05,12.6,4.5,12.15,4.5
355,battencorner,O7,2,12.15,4.5,12.6,4.5,12.6,4.95,12.15,4.95
356,battenend,O8,2,12.15,4.95,12.6,4.95,12.6,5.85,12.15,5.85
357,battenend,O9,2,12.15,5.85,12.6,5.85,12.6,6.75,12.15,6.75
358,battenend,O10,2,12.15,6.75,12.6,6.75,12.6,7.65,12.15,7.65
359,battenend,O11,2,12.15,7.65,12.6,7.65,12.6,8.55,12.15,8.55
360,battencorner,O12,2,12.15,8.55,12.6,8.55,12.6,9,12.15,9
361,endraftertopplate,A2,1,0,0.7,0.4,0.7,0.4,1.1,0,1.1
362,endrafterridge,A6,1,0,4.3,0.4,4.3,0.4,4.7,0,4.7
363,endraftertopplate,A11,2,0,7.9,0.4,7.9,0.4,8.3,0,8.3
364,collarraftertopplate,B2,1,0.7,0.7,1.1,0.7,1.1,1.1,0.7,1.1
365,collarraftercollar,B4,1,0.7,2.5,1.1,2.5,1.1,2.9,0.7,2.9
366,collarrafterridge,B6,1,0.7,4.3,1.1,4.3,1.1,4.7,0.7,4.7
367,collarraftercollar,B9,2,0.7,6.1,1.1,6.1,1.1,6.5,0.7,6.5
368,collarraftertopplate,B11,2,0.7,7.9,1.1,7.9,1.1,8.3,0.7,8.3
369,plainraftertopplate,C2,1,1.6,0.7,2,0.7,2,1.1,1.6,1.1
370,plainrafterridge,C6,1,1.6,4.3,2,4.3,2,4.7,1.6,4.7
371,plainraftertopplate,C11,2,1.6,7.9,2,7.9,2,8.3,1.6,8.3
372,collarraftertopplate,D2,1,2.5,0.7,2.9,0.7,2.9,1.1,2.5,1.1
373,collarraftercollar,D4,1,2.5,2.5,2.9,2.5,2.9,2.9,2.5,2.9
374,collarrafterridge,D6,1,2.5,4.3,2.9,4.3,2.9,4.7,2.5,4.7
375,collarraftercollar,D9,2,2.5,6.1,2.9,6.1,2.9,6.5,2.5,6.5
376,collarraftertopplate,D11,2,2.5,7.9,2.9,7.9,2.9,8.3,2.5,8.3
377,plainraftertopplate,E2,1,3.4,0.7,3.8,0.7,3.8,1.1,3.4,1.1
378,plainrafterridge,E6,1,3.4,4.3,3.8,4.3,3.8,4.7,3.4,4.7
379,plainraftertopplate,E11,2,3.4,7.9,3.8,7.9,3.8,8.3,3.4,8.3
380,collarraftertopplate,F2,1,4.3,0.7,4.7,0.7,4.7,1.1,4.3,1.1
381,collarraftercollar,F4,1,4.3,2.5,4.7,2.5,4.7,2.9,4.3,2.9
382,collarrafterridge,F6,1,4.3,4.3,4.7,4.3,4.7,4.7,4.3,4.7
383,collarraftercollar,F9,2,4.3,6.1,4.7,6.1,4.7,6.5,4.3,6.5
384,collarraftertopplate,F11,2,4.3,7.9,4.7,7.9,4.7,8.3,4.3,8.3
385,plainraftertopplate,G2,1,5.2,0.7,5.6,0.7,5.6,1.1,5.2,1.1
386,plainrafterridge,G6,1,5.2,4.3,5.6,4.3,5.6,4.7,5.2,4.7
387,plainraftertopplate,G11,2,5.2,7.9,5.6,7.9,5.6,8.3,5.2,8.3
388,collarraftertopplate,H2,1,6.1,0.7,6.5,0.7,6.5,1.1,6.1,1.1
389,collarraftercollar,H4,1,6.1,2.5,6.5,2.5,6.5,2.9,6.1,2.9
390,collarrafterridge,H6,1,6.1,4.3,6.5,4.3,6.5,4.7,6.1,4.7
391,collarraftercollar,H9,2,6.1,6.1,6.5,6.1,6.5,6.5,6.1,6.5
392,collarraftertopplate,H11,2,6.1,7.9,6.5,7.9,6.5,8.3,6.1,8.3
393,plainraftertopplate,I2,1,7,0.7,7.4,0.7,7.4,1.1,7,1.1
394,plainrafterridge,I6,1,7,4.3,7.4,4.3,7.4,4.7,7,4.7
395,plainraftertopplate,I11,2,7,7.9,7.4,7.9,7.4,8.3,7,8.3
396,collarraftertopplate,J2,1,7.9,0.7,8.3,0.7,8.3,1.1,7.9,1.1
397,collarraftercollar,J4,1,7.9,2.5,8.3,2.5,8.3,2.9,7.9,2.9
398,collarrafterridge,J6,1,7.9,4.3,8.3,4.3,8.3,4.7,7.9,4.7
399,collarraftercollar,J9,2,7.9,6.1,8.3,6.1,8.3,6.5,7.9,6.5
400,collarraftertopplate,J11,2,7.9,7.9,8.3,7.9,8.3,8.3,7.9,8.3
401,plainraftertopplate,K2,1,8.8,0.7,9.2,0.7,9.2,1.1,8.8,1.1
402,plainrafterridge,K6,1,8.8,4.3,9.2,4.3,9.2,4.7,8.8,4.7
403,plainraftertopplate,K11,2,8.8,7.9,9.2,7.9,9.2,8.3,8.8,8.3
404,collarraftertopplate,L2,1,9.7,0.7,10.1,0.7,10.1,1.1,9.7,1.1
405,collarraftercollar,L4,1,9.7,2.5,10.1,2.5,10.1,2.9,9.7,2.9
406,collarrafterridge,L6,1,9.7,4.3,10.1,4.3,10.1,4.7,9.7,4.7
407,collarraftercollar,L9,2,9.7,6.1,10.1,6.1,10.1,6.5,9.7,6.5
408,collarraftertopplate,L11,2,9.7,7.9,10.1,7.9,10.1,8.3,9.7,8.3
409,plainraftertopplate,M2,1,10.6,0.7,11,0.7,11,1.1,10.6,1.1
410,plainrafterridge,M6,1,10.6,4.3,11,4.3,11,4.7,10.6,4.7
411,plainraftertopplate,M11,2,10.6,7.9,11,7.9,11,8.3,10.6,8.3
412,collarraftertopplate,N2,1,11.5,0.7,11.9,0.7,11.9,1.1,11.5,1.1
413,collarraftercollar,N4,1,11.5,2.5,11.9,2.5,11.9,2.9,11.5,2.9
414,collarrafterridge,N6,1,11.5,4.3,11.9,4.3,11.9,4.7,11.5,4.7
415,collarraftercollar,N9,2,11.5,6.1,11.9,6.1,11.9,6.5,11.5,6.5
416,collarraftertopplate,N11,2,11.5,7.9,11.9,7.9,11.9,8.3,11.5,8.3
417,endraftertopplate,O2,1,12.2,0.7,12.6,0.7,12.6,1.1,12.2,1.1
418,endrafterridge,O6,1,12.2,4.3,12.6,4.3,12.6,4.7,12.2,4.7
419,endraftertopplate,O11,2,12.2,7.9,12.6,7.9,12.6,8.3,12.2,8.3
